"trial"	"deck"	"gain"	"loss"	"subjID"
68	2	100	0	184
69	2	100	0	184
70	2	100	0	184
71	3	50	0	184
72	3	50	0	184
73	3	50	-50	184
74	3	50	-25	184
75	4	50	0	184
76	4	50	0	184
77	3	50	-50	184
78	3	50	0	184
79	3	50	0	184
80	3	50	-75	184
81	4	50	0	184
82	4	50	0	184
83	4	50	0	184
84	4	50	0	184
85	4	50	-250	184
86	4	50	0	184
87	4	50	0	184
88	4	50	0	184
89	4	50	0	184
90	3	50	-50	184
91	3	50	0	184
92	3	50	0	184
93	3	50	0	184
94	3	50	-25	184
95	3	50	-25	184
96	3	50	0	184
97	3	50	-75	184
98	3	50	0	184
99	3	50	-50	184
100	3	50	-75	184
1	1	100	0	185
2	3	50	0	185
3	2	100	0	185
4	4	50	0	185
5	1	100	0	185
6	1	100	-150	185
7	2	100	0	185
8	2	100	0	185
9	2	100	0	185
10	2	100	0	185
11	2	100	0	185
12	2	100	0	185
13	2	100	0	185
14	2	100	-1250	185
15	4	50	0	185
16	2	100	0	185
17	2	100	0	185
18	2	100	0	185
19	2	100	0	185
20	2	100	-1250	185
21	2	100	0	185
22	4	50	0	185
23	1	100	0	185
24	1	100	-300	185
25	3	50	0	185
26	3	50	-50	185
27	3	50	0	185
28	3	50	-50	185
29	3	50	0	185
30	3	50	-50	185
31	3	50	0	185
32	3	50	-50	185
33	3	50	-50	185
34	3	50	0	185
35	3	50	-25	185
36	3	50	-75	185
37	2	100	0	185
38	1	100	0	185
39	4	50	0	185
40	3	50	0	185
41	3	50	0	185
42	3	50	0	185
43	2	100	0	185
44	1	100	-200	185
45	1	100	0	185
46	4	50	0	185
47	4	50	0	185
48	4	50	0	185
49	4	50	0	185
50	4	50	0	185
51	4	50	-250	185
52	3	50	-25	185
53	3	50	-75	185
54	2	100	0	185
55	1	100	-250	185
56	2	100	0	185
57	2	100	0	185
58	2	100	-1250	185
59	2	100	0	185
60	2	100	0	185
61	1	100	-350	185
62	3	50	0	185
63	3	50	-50	185
64	3	50	0	185
65	3	50	0	185
66	3	50	0	185
67	4	50	0	185
68	4	50	0	185
69	3	50	-50	185
70	4	50	0	185
71	4	50	0	185
72	4	50	0	185
73	4	50	0	185
74	4	50	0	185
75	4	50	0	185
76	4	50	0	185
77	4	50	-250	185
78	4	50	0	185
79	4	50	0	185
80	4	50	0	185
81	1	100	0	185
82	2	100	0	185
83	3	50	-25	185
84	4	50	0	185
85	1	100	-350	185
86	4	50	0	185
87	3	50	-50	185
88	4	50	0	185
89	3	50	0	185
90	4	50	0	185
91	4	50	0	185
92	3	50	0	185
93	4	50	-250	185
94	4	50	0	185
95	4	50	0	185
96	4	50	0	185
97	4	50	0	185
98	3	50	-75	185
99	1	100	0	185
100	4	50	0	185
1	3	50	0	186
2	2	100	0	186
3	2	100	0	186
4	2	100	0	186
5	2	100	0	186
6	2	100	0	186
7	3	50	0	186
8	3	50	-50	186
9	2	100	0	186
10	2	100	0	186
11	2	100	0	186
12	2	100	-1250	186
13	4	50	0	186
14	4	50	0	186
15	2	100	0	186
16	2	100	0	186
17	2	100	0	186
18	1	100	0	186
19	1	100	0	186
20	1	100	-150	186
21	3	50	0	186
22	4	50	0	186
23	2	100	0	186
24	2	100	-1250	186
25	2	100	0	186
26	2	100	0	186
27	3	50	-50	186
28	1	100	0	186
29	1	100	-300	186
30	4	50	0	186
31	3	50	0	186
32	4	50	0	186
33	2	100	0	186
34	1	100	0	186
35	4	50	0	186
36	3	50	-50	186
37	4	50	0	186
38	4	50	0	186
39	3	50	0	186
40	2	100	0	186
41	3	50	-50	186
42	4	50	0	186
43	4	50	-250	186
44	3	50	-50	186
45	2	100	0	186
46	2	100	0	186
47	4	50	0	186
48	3	50	0	186
49	3	50	-25	186
50	3	50	-75	186
51	3	50	0	186
52	1	100	-200	186
53	2	100	-1250	186
54	2	100	0	186
55	2	100	0	186
56	2	100	0	186
57	2	100	0	186
58	2	100	0	186
59	4	50	0	186
60	4	50	0	186
61	3	50	0	186
62	4	50	0	186
63	4	50	0	186
64	4	50	0	186
65	4	50	0	186
66	1	100	0	186
67	3	50	0	186
68	4	50	0	186
69	1	100	-250	186
70	1	100	-350	186
71	3	50	-25	186
72	4	50	0	186
73	1	100	0	186
74	1	100	-350	186
75	3	50	-75	186
76	4	50	-250	186
77	2	100	0	186
78	3	50	0	186
79	3	50	-50	186
80	3	50	0	186
81	3	50	0	186
82	4	50	0	186
83	2	100	0	186
84	1	100	0	186
85	3	50	0	186
86	4	50	0	186
87	1	100	-250	186
88	3	50	-50	186
89	4	50	0	186
90	2	100	0	186
91	3	50	-25	186
92	4	50	0	186
93	4	50	0	186
94	4	50	0	186
95	3	50	-50	186
96	3	50	0	186
97	3	50	0	186
98	3	50	-75	186
99	1	100	-200	186
100	3	50	-50	186
1	1	100	0	187
2	1	100	0	187
3	2	100	0	187
4	2	100	0	187
5	3	50	0	187
6	3	50	0	187
7	4	50	0	187
8	4	50	0	187
9	1	100	-150	187
10	2	100	0	187
11	2	100	0	187
12	3	50	-50	187
13	4	50	0	187
14	4	50	0	187
15	2	100	0	187
16	2	100	0	187
17	2	100	0	187
18	2	100	0	187
19	2	100	-1250	187
20	2	100	0	187
21	1	100	0	187
22	2	100	0	187
23	4	50	0	187
24	4	50	0	187
25	2	100	0	187
26	2	100	0	187
27	2	100	-1250	187
28	2	100	0	187
29	2	100	0	187
30	2	100	0	187
31	1	100	-300	187
32	3	50	0	187
33	3	50	-50	187
34	2	100	0	187
35	3	50	0	187
36	1	100	0	187
37	1	100	-200	187
38	3	50	-50	187
39	4	50	0	187
40	4	50	0	187
41	4	50	0	187
42	4	50	-250	187
43	3	50	0	187
44	3	50	-50	187
45	3	50	-50	187
46	3	50	0	187
47	1	100	0	187
48	1	100	-250	187
49	1	100	-350	187
50	2	100	0	187
51	2	100	0	187
52	1	100	0	187
53	1	100	-350	187
54	2	100	-1250	187
55	2	100	0	187
56	2	100	0	187
57	2	100	0	187
58	2	100	0	187
59	1	100	0	187
60	1	100	-250	187
61	1	100	-200	187
62	3	50	-25	187
63	3	50	-75	187
64	3	50	0	187
65	3	50	0	187
66	3	50	0	187
67	3	50	-25	187
68	3	50	-75	187
69	3	50	0	187
70	3	50	-50	187
71	3	50	0	187
72	3	50	0	187
73	3	50	0	187
74	3	50	-50	187
75	3	50	-25	187
76	3	50	-50	187
77	3	50	0	187
78	3	50	0	187
79	3	50	-75	187
80	3	50	-50	187
81	3	50	0	187
82	3	50	0	187
83	3	50	0	187
84	3	50	-25	187
85	3	50	-25	187
86	3	50	0	187
87	3	50	-75	187
88	3	50	0	187
89	3	50	-50	187
90	3	50	-75	187
91	3	50	0	187
92	3	50	0	187
93	3	50	-50	187
94	3	50	0	187
95	3	50	-50	187
96	3	50	0	187
97	3	50	-50	187
98	3	50	0	187
99	3	50	-50	187
100	3	50	-50	187
1	1	100	0	188
2	1	100	0	188
3	4	50	0	188
4	2	100	0	188
5	3	50	0	188
6	2	100	0	188
7	1	100	-150	188
8	2	100	0	188
9	2	100	0	188
10	2	100	0	188
11	2	100	0	188
12	4	50	0	188
13	3	50	0	188
14	2	100	0	188
15	2	100	0	188
16	2	100	-1250	188
17	2	100	0	188
18	1	100	0	188
19	1	100	-300	188
20	2	100	0	188
21	4	50	0	188
22	4	50	0	188
23	4	50	0	188
24	4	50	0	188
25	4	50	0	188
26	4	50	0	188
27	4	50	0	188
28	4	50	-250	188
29	4	50	0	188
30	1	100	0	188
31	1	100	-200	188
32	1	100	0	188
33	1	100	-250	188
34	1	100	-350	188
35	2	100	0	188
36	2	100	0	188
37	2	100	-1250	188
38	2	100	0	188
39	2	100	0	188
40	2	100	0	188
41	4	50	0	188
42	4	50	0	188
43	4	50	0	188
44	4	50	0	188
45	4	50	0	188
46	4	50	0	188
47	4	50	0	188
48	4	50	0	188
49	4	50	-250	188
50	4	50	0	188
51	4	50	0	188
52	4	50	0	188
53	4	50	0	188
54	4	50	0	188
55	4	50	0	188
56	3	50	-50	188
57	3	50	0	188
58	3	50	-50	188
59	3	50	0	188
60	3	50	-50	188
61	4	50	0	188
62	4	50	0	188
63	4	50	-250	188
64	4	50	0	188
65	4	50	0	188
66	4	50	0	188
67	4	50	0	188
68	4	50	0	188
69	4	50	-250	188
70	3	50	0	188
71	3	50	-50	188
72	3	50	-50	188
73	3	50	0	188
74	3	50	-25	188
75	3	50	-75	188
76	3	50	0	188
77	3	50	0	188
78	3	50	0	188
79	3	50	-25	188
80	3	50	-75	188
81	3	50	0	188
82	3	50	-50	188
